		Координаты начала здания (пересечение А/1)			
Позиция здания	Координата Привязки X	Координата Привязки Y	Координата Привязки Z	Угол Поворота	
1166101	-1605126,7	696538,8	-8700,0	360,0°	
1166102	-1609504,9	201494,5	19990,0	360,0°	
1166103	-1607109,0	181985,6	12210,0	360,0°	
1166104	-1597109,0	181985,6	12520,0	360,0°	
1166106	-1631049,3	201484,2	18800,0	360,0°	
1166201	-120268,6	-69863,3	23790,0	180,0°	
1166201	-90245,1	-69849,7	23790,0	180,0°	
1166201	-60268,6	-69846,9	23790,0	180,0°	
1166202	-40100,6	-94263,3	24690,0	360,0°	
1166203	0,0	0,0	24830,0	180,0°	
1166204	-132517,9	-25350,4	24230,0	180,0°	
1166204	-117085,8	-25351,2	24230,0	180,0°	
1166205	-138519,0	-20231,8	24230,0	360,0°	
1166205	-123086,5	-20223,0	24230,0	360,0°	
1166206	19462,6	-71060,3	16720,0	360,0°	
1166207	19413,6	-80651,3	16680,0	360,0°	
1166208	18998,8	-38662,5	24250,0	270,0°	
1166209	19073,8	-16054,2	24350,0	270,0°	
1166301	-99255,2	-208997,3	24100,0	360,0°	
1166303	-83953,3	-133260,2	23500,0	270,0°	
1166303	-63953,3	-133260,2	23500,0	270,0°	
1166304	-42552,8	-133941,5	23500,0	270,0°	
1166304	-15552,8	-133942,4	23500,0	270,0°	
1166305	16981,1	-205647,3	15830,0	360,0°	
1166306	26481,1	-205647,3	15790,0	360,0°	
1166307	-94858,2	-320272,3	23230,0	360,0°	
1166308	-73258,0	-232608,4	22680,0	180,0°	
1166308	-43258,0	-232608,4	22680,0	180,0°	
1166308	-13258,0	-232608,4	22680,0	180,0°	
1166310	23726,1	-316922,3	14940,0	360,0°	
1166311	33226,1	-316922,3	14910,0	360,0°	
1166312	-103571,6	-390172,3	22840,0	360,0°	
1166316	-20522,5	-386822,3	14640,0	360,0°	
1166317	-11022,5	-386822,3	14600,0	360,0°	
1166318	20130,1	-232608,4	21800,0	180,0°	
1166320	-115702,7	-143147,1	24100,0	360,0°	
1166322	43946,8	-254441,7	22910,0	360,0°	
1166323	-112042,4	-276108,4	20800,0	90,0°	
1166323	-103559,6	-276108,4	20800,0	90,0°	
1166324	-23224,2	-337452,6	20800,0	360,0°	
1166324	-12151,7	-337452,6	20800,0	360,0°	
